anonymised_id,group
artefact-001,design-grounded
artefact-002,ungrounded
artefact-003,ungrounded
artefact-004,ungrounded
artefact-005,design-grounded
artefact-006,ungrounded
artefact-007,design-grounded
artefact-008,fully-grounded
artefact-009,design-grounded
artefact-010,fully-grounded
artefact-011,design-grounded
artefact-012,fully-grounded
artefact-013,ungrounded
artefact-014,ungrounded
artefact-015,design-grounded
artefact-016,design-grounded
artefact-017,design-grounded
artefact-018,ungrounded
artefact-019,fully-grounded
artefact-020,ungrounded
artefact-021,fully-grounded
artefact-022,design-grounded
artefact-023,design-grounded
artefact-024,design-grounded
artefact-025,design-grounded
artefact-026,fully-grounded
artefact-027,design-grounded
artefact-028,ungrounded
artefact-029,fully-grounded
artefact-030,ungrounded
artefact-031,design-grounded
artefact-032,ungrounded
artefact-033,fully-grounded
artefact-034,fully-grounded
artefact-035,design-grounded
artefact-036,design-grounded
artefact-037,design-grounded
artefact-038,fully-grounded
artefact-039,fully-grounded
artefact-040,design-grounded
artefact-041,fully-grounded
artefact-042,design-grounded
artefact-043,fully-grounded
artefact-044,fully-grounded
artefact-045,fully-grounded
artefact-046,ungrounded
artefact-047,fully-grounded
artefact-048,fully-grounded
artefact-049,ungrounded
artefact-050,ungrounded
artefact-051,fully-grounded
artefact-052,ungrounded
artefact-053,ungrounded
artefact-054,fully-grounded
artefact-055,design-grounded
artefact-056,ungrounded
artefact-057,ungrounded
artefact-058,fully-grounded
artefact-059,ungrounded
artefact-060,ungrounded
